T,P,vf,vfg,vg,uf,ufg,ug,hf,hfg,hg,sf,sfg,sg
20.0,0.02333624591715997,0.0010017843928216447,57.910546585344036,57.911548369736856,83.93881130136651,2318.9845228295035,2402.92333413087,83.94114909003838,2454.125998756974,2538.067147847012,0.2965712070050426,8.37157086185859,8.668142068863633
21.0,0.02482163982406257,0.0010019921558620977,54.62783647221643,54.62883846437229,88.1262613970921,2316.168506123002,2404.294767520094,88.12874850591288,2451.763754552525,2539.892503058438,0.31083122737820323,8.335079904595538,8.645911131973742
22.0,0.02638907427834225,0.0010022109625011646,51.55493651856208,51.555938729524584,92.31254165735118,2313.352629742136,2405.665171399487,92.3151863992789,2449.4013349690376,2541.7165213683165,0.32503888107447976,8.298835623719686,8.623874504794165
23.0,0.028042340906048315,0.0010024406192346113,48.67704775535966,48.67805019597889,96.49770986727708,2310.536804297646,2407.034514164923,96.50052094541388,2447.0386413547894,2543.5391623002033,0.33919471780690147,8.262835187284999,8.6020299050919
24.0,0.029785368658645336,0.001002680935370568,45.98050665752799,45.98150933846336,100.68182707133383,2307.720936794203,2408.402763865537,100.68481359342877,2444.675571301239,2545.3603848946677,0.3532992927183316,8.227075788824076,8.580375081542407
25.0,0.0316222271475102,0.0010029317234519772,43.45269137765237,43.45369430937583,104.8649566553413,2304.9049315630655,2409.769888218407,104.8681281487934,2442.3120195756965,2547.18014772449,0.36735316322435674,8.191554650049149,8.558907813273505
26.0,0.03355713000183205,0.0010031927996036094,41.081936246143876,41.08293943894348,109.04716355243181,2302.0886910708105,2411.1358546232423,109.05052997952043,2439.947878930365,2548.9984089098853,0.38135688632387277,8.156269023085052,8.537625909408925
27.0,0.03559443824839653,0.0010034639838138151,38.85745376504843,38.85845722903225,113.22851355948478,2299.272116617618,2412.5006301771027,113.232085333133,2437.583040800573,2550.815126133706,0.39531101632353316,8.121216192289612,8.516527208613144
28.0,0.03773866371179573,0.0010037451001599896,36.76926339879403,36.77026714389419,117.40907275188692,2296.4551089371635,2413.8641816890504,117.41286075172502,2435.2173959049305,2552.6302566566555,0.4092161029268242,8.086393475710805,8.495609578637628
29.0,0.03999447243345718,0.0010040359769854935,34.80812653363237,34.80913056960935,121.58890698563846,2293.6375687091077,2415.226475694746,121.5929225745258,2432.8508347578627,2554.4437573323885,0.42307268964452316,8.051798226225864,8.474870915870387
30.0,0.04236668810795053,0.0010043364470347863,32.96548703867536,32.966491375122395,125.76808147705015,2290.819396993913,2416.587478470963,125.77233651791175,2430.4832481046305,2556.2555846225423,0.436881312487841,8.017427832401424,8.454309144889264
31.0,0.04486029553495923,0.0010046463475526157,31.233416916488427,31.23442156283598,129.94666045108715,2288.0004955988516,2417.9471560499387,129.95116732424503,2428.11452728738,2558.065694611625,0.4506424989090281,7.983279719110868,8.433922218019896
